a,b,output
62,30,92
79,38,20
75,46,24
35,41,76
37,12,49
72,58,33
34,31,65
31,64,95
2,43,45
35,85,23
5,39,44
6,81,87
21,32,53
49,39,88
46,24,70
92,26,21
61,26,87
88,74,65
12,10,22
1,84,85
35,83,21
18,65,83
92,87,82
12,69,81
45,83,31
95,5,3
91,60,54
76,64,43
31,8,39
10,60,70
67,64,34
88,42,33
22,9,31
68,36,7
85,77,65
57,90,50
14,53,67
92,86,81
30,8,38
26,14,40
57,1,58
82,79,64
39,25,64
18,26,44
62,35,0
58,46,7
81,36,20
47,46,93
93,24,20
75,35,13
62,37,2
47,74,24
85,93,81
12,4,16
80,23,6
23,28,51
34,5,39
29,78,10
20,93,16
33,13,46
60,12,72
95,63,61
89,82,74
79,20,2
95,14,12
79,15,94
49,34,83
25,35,60
50,6,56
22,54,76
56,83,42
82,58,43
17,39,56
68,24,92
33,74,10
81,32,16
79,90,72
78,22,3
19,14,33
79,96,78
90,85,78
29,11,40
42,57,2
72,80,55
75,75,53
12,60,72
51,41,92
52,63,18
25,61,86
46,75,24
20,63,83
83,76,62
10,21,31
54,68,25
13,74,87
96,2,1
58,9,67
82,1,83
24,23,47
73,40,16
59,38,0
12,64,76
96,20,19
58,64,25
81,17,1
49,46,95
44,83,30
51,76,30
13,50,63
10,76,86
26,42,68
70,79,52
72,76,51
29,62,91
46,58,7
43,9,52
37,61,1
94,31,28
48,86,37
38,57,95
49,5,54
62,28,90
49,94,46
96,19,18
11,20,31
93,57,53
3,50,53
83,65,51
2,6,8
69,72,44
2,34,36
82,55,40
52,60,15
17,33,50
89,89,81
53,10,63
38,14,52
73,76,52
41,69,13
67,37,7
46,41,87
67,21,88
1,53,54
51,45,96
25,79,7
59,36,95
7,38,45
88,33,24
79,33,15
0,5,5
30,27,57
4,93,0
6,69,75
22,7,29
90,87,80
79,77,59
38,65,6
71,43,17
88,39,30
88,38,29
27,80,10
89,71,63
9,8,17
48,44,92
80,86,69
1,88,89
79,1,80
24,13,37
10,95,8
89,96,88
3,77,80
45,66,14
40,70,13
78,31,12
4,15,19
87,75,65
92,84,79
22,34,56
92,18,13
12,34,46
62,78,43
79,53,35
2,87,89
44,81,28
92,96,91
71,51,25
15,71,86
56,44,3
0,9,9
47,34,81
22,38,60
62,80,45
51,21,72
74,53,30
62,25,87
90,19,12
14,91,8
96,93,92
83,92,78
22,59,81
0,29,29
73,4,77
7,81,88
50,29,79
9,51,60
19,63,82
65,38,6
1,20,21
21,95,19
37,47,84
9,56,65
66,9,75
18,42,60
5,21,26
19,55,74
16,22,38
87,94,84
90,30,23
68,29,0
31,59,90
39,79,21
82,60,45
91,78,72
6,3,9
24,12,36
0,66,66
78,88,69
24,82,9
66,60,29
73,36,12
87,0,87
44,44,88
31,1,32
52,54,9
42,36,78
25,72,0
82,93,78
24,92,19
4,46,50
63,59,25
87,43,33
0,92,92
80,70,53
35,59,94
70,12,82
63,77,43
78,11,89
33,31,64
5,4,9
81,0,81
56,34,90
27,90,20
58,92,53
71,3,74
20,66,86
69,53,25
58,18,76
44,69,16
93,15,11
36,20,56
6,82,88
7,15,22
42,58,3
31,80,14
4,53,57
42,18,60
35,95,33
58,53,14
40,28,68
11,37,48
24,93,20
6,85,91
91,9,3
94,4,1
74,69,46
90,86,79
85,68,56
16,64,80
15,51,66
54,80,37
24,60,84
49,49,1
63,39,5
89,69,61
42,65,10
27,22,49
75,74,52
37,29,66
28,30,58
42,41,83
45,96,44
5,28,33
12,28,40
88,54,45
17,17,34
59,49,11
87,47,37
52,81,36
60,92,55
1,25,26
32,31,63
8,60,68
33,53,86
37,43,80
32,24,56
64,90,57
15,19,34
75,62,40
11,86,0
84,80,67
30,54,84
21,37,58
61,70,34
15,13,28
58,81,42
82,88,73
17,24,41
82,50,35
27,19,46
7,57,64
2,17,19
49,36,85
49,89,41
73,2,75
53,8,61
54,67,24
70,64,37
9,15,24
26,27,53
20,70,90
16,96,15
60,19,79
6,63,69
83,86,72
53,1,54
91,89,83
25,65,90
83,42,28
70,51,24
88,77,68
39,74,16
73,60,36
58,69,30
4,68,72
53,45,1
13,26,39
17,1,18
56,24,80
36,85,24
17,2,19
56,30,86
43,1,44
68,83,54
62,2,64
78,17,95
63,20,83
51,23,74
71,32,6
19,36,55
80,27,10
35,57,92
66,46,15
68,17,85
23,26,49
41,48,89
78,90,71
75,68,46
72,15,87
32,88,23
84,11,95
63,6,69
82,45,30
21,70,91
46,1,47
95,27,25
55,25,80
6,70,76
33,84,20
50,93,46
15,10,25
38,32,70
5,52,57
22,87,12
35,75,13
93,52,48
46,43,89
89,17,9
49,62,14
9,68,77
38,42,80
5,72,77
56,18,74
9,77,86
53,33,86
77,74,54
13,69,82
17,58,75
90,94,87
6,49,55
47,0,47
5,5,10
35,90,28
92,95,90
24,22,46
83,15,1
46,57,6
77,55,35
95,91,89
37,57,94
22,82,7
77,16,93
35,10,45
9,3,12
92,3,95
77,81,61
13,23,36
33,75,11
59,69,31
50,63,16
85,64,52
4,84,88
66,35,4
23,7,30
12,73,85
20,65,85
95,31,29
51,24,75
54,60,17
3,69,72
61,90,54
69,4,73
13,86,2
24,77,4
78,33,14
93,66,62
26,12,38
24,25,49
59,30,89
70,71,44
34,72,9
25,56,81
92,50,45
4,57,61
62,79,44
94,59,56
60,76,39
23,66,89
61,47,11
7,63,70
41,72,16
33,43,76
63,48,14
69,1,70
67,80,50
10,36,46
46,33,79
59,44,6
60,2,62
17,87,7
57,51,11
35,42,77
85,33,21
29,81,13
75,91,69
3,68,71
15,2,17
28,37,65
52,87,42
58,21,79
75,85,63
4,83,87
13,31,44
58,51,12
68,88,59
23,65,88
38,19,57
39,2,41
89,93,85
64,31,95
3,96,2
79,94,76
90,53,46
82,68,53
13,22,35
88,68,59
54,26,80
80,39,22
89,79,71
60,16,76
96,40,39
51,27,78
29,47,76
16,40,56
62,1,63
51,39,90
28,88,19
47,23,70
29,46,75
89,57,49
29,87,19
20,21,41
90,34,27
5,37,42
28,47,75
7,73,80
35,33,68
60,21,81
68,0,68
77,83,63
32,63,95
83,52,38
26,76,5
70,44,17
71,34,8
39,15,54
75,40,18
22,52,74
95,75,73
35,12,47
62,51,16
77,2,79
66,75,44
62,71,36
48,81,32
77,17,94
26,53,79
92,56,51
79,83,65
16,3,19
75,49,27
3,20,23
63,95,61
59,96,58
12,46,58
66,38,7
93,30,26
37,10,47
39,47,86
11,44,55
63,91,57
12,50,62
11,48,59
66,79,48
27,42,69
10,19,29
39,13,52
10,54,64
12,81,93
8,22,30
93,87,83
45,36,81
81,71,55
89,95,87
37,16,53
59,74,36
44,53,0
76,25,4
92,40,35
85,57,45
4,20,24
73,28,4
74,17,91
39,12,51
53,26,79
77,40,20
16,86,5
87,87,77
31,35,66
50,30,80
51,54,8
51,30,81
17,90,10
20,64,84
59,27,86
12,72,84
33,23,56
0,56,56
11,52,63
88,20,11
63,3,66
32,14,46
85,30,18
36,81,20
87,79,69
34,57,91
89,84,76
91,76,70
52,66,21
87,68,58
83,80,66
44,84,31
23,1,24
30,7,37
21,83,7
61,79,43
51,72,26
23,90,16
90,69,62
59,90,52
35,46,81
17,50,67
33,81,17
29,77,9
44,6,50
21,72,93
5,17,22
80,75,58
61,80,44
47,38,85
46,92,41
7,18,25
60,81,44
28,20,48
67,70,40
7,78,85
89,91,83
91,4,95
61,11,72
56,12,68
14,81,95
82,9,91
72,46,21
34,14,48
8,64,72
64,92,59
9,84,93
21,86,10
57,91,51
35,21,56
30,31,61
17,81,1
37,30,67
57,48,8
71,86,60
44,64,11
24,19,43
90,78,71
21,29,50
48,60,11
35,27,62
51,92,46
82,12,94
83,5,88
28,85,16
65,1,66
63,30,93
62,75,40
11,33,44
80,26,9
12,31,43
10,32,42
73,24,0
63,45,11
29,22,51
7,69,76
27,94,24
72,23,95
67,10,77
91,10,4
64,27,91
44,77,24
30,46,76
3,32,35
38,4,42
22,13,35
51,68,22
81,37,21
73,72,48
63,96,62
61,41,5
36,18,54
76,87,66
25,10,35
95,10,8
18,74,92
14,37,51
83,81,67
94,84,81
4,12,16
61,23,84
39,5,44
84,7,91
52,15,67
54,28,82
40,82,25
8,80,88
35,88,26
27,87,17
77,96,76
65,95,63
9,72,81
72,30,5
57,71,31
71,40,14
85,50,38
80,2,82
84,24,11
55,17,72
51,80,34
57,17,74
13,18,31
11,31,42
64,65,32
10,58,68
59,20,79
56,54,13
4,1,5
60,84,47
86,91,80
14,95,12
49,59,11
5,41,46
7,65,72
41,23,64
27,74,4
13,71,84
35,64,2
4,49,53
73,53,29
55,86,44
87,4,91
69,39,11
60,26,86
70,6,76
73,21,94
24,24,48
76,18,94
61,68,32
5,67,72
10,71,81
89,9,1
44,92,39
34,37,71
17,27,44
65,52,20
48,12,60
94,3,0
67,92,62
67,76,46
41,64,8
88,0,88
94,38,35
0,45,45
18,6,24
90,17,10
89,26,18
85,5,90
68,15,83
79,18,0
23,88,14
92,71,66
18,10,28
4,21,25
22,92,17
45,84,32
10,80,90
61,21,82
70,18,88
47,3,50
41,47,88
23,50,73
96,77,76
11,41,52
10,41,51
16,92,11
70,49,22
63,68,34
2,59,61
4,61,65
81,45,29
59,59,21
24,56,80
12,2,14
82,3,85
65,24,89
90,91,84
54,13,67
51,87,41
62,85,50
52,8,60
61,76,40
17,60,77
9,22,31
94,42,39
72,25,0
37,25,62
27,55,82
31,11,42
92,48,43
23,6,29
75,36,14
22,28,50
41,61,5
56,55,14
51,0,51
71,20,91
35,6,41
46,19,65
25,95,23
5,64,69
69,28,0
39,73,15
32,5,37
69,54,26
84,91,78
75,71,49
54,45,2
93,21,17
94,12,9
90,71,64
62,40,5
51,33,84
24,94,21
49,9,58
31,65,96
37,55,92
55,9,64
16,43,59
72,9,81
20,5,25
41,31,72
69,41,13
23,34,57
78,48,29
94,39,36
75,32,10
19,74,93
30,35,65
46,16,62
78,95,76
16,18,34
82,53,38
94,72,69
63,1,64
38,93,34
32,49,81
4,0,4
13,16,29
58,40,1
76,80,59
35,40,75
63,84,50
51,96,50
43,31,74
26,59,85
25,2,27
47,41,88
96,71,70
12,14,26
24,84,11
15,87,5
39,70,12
81,27,11
75,63,41
13,10,23
50,57,10
53,51,7
15,42,57
8,31,39
19,35,54
82,34,19
20,85,8
92,31,26
63,81,47
83,9,92
70,87,60
59,88,50
89,38,30
70,27,0
2,70,72
11,75,86
91,77,71
89,88,80
27,57,84
92,59,54
25,34,59
73,33,9
88,23,14
51,56,10
61,1,62
4,9,13
91,79,73
88,82,73
42,50,92
23,72,95
41,54,95
59,60,22
64,12,76
54,16,70
37,24,61
61,86,50
27,27,54
64,78,45
91,43,37
10,93,6
17,29,46
21,23,44
61,27,88
66,34,3
89,48,40
83,82,68
60,14,74
8,89,0
39,77,19
48,45,93
49,4,53
9,42,51
54,58,15
17,19,36
39,11,50
20,86,9
26,55,81
80,65,48
27,3,30
45,85,33
26,8,34
39,39,78
50,66,19
36,45,81
71,17,88
77,11,88
38,6,44
45,91,39
12,17,29
47,14,61
66,58,27
52,16,68
59,92,54
76,38,17
69,64,36
59,19,78
14,16,30
48,40,88
20,30,50
74,77,54
57,21,78
80,32,15
24,30,54
39,61,3
33,65,1
48,34,82
26,75,4
0,33,33
41,33,74
12,44,56
32,86,21
73,93,69
39,17,56
89,67,59
62,42,7
31,55,86
89,11,3
49,38,87
33,34,67
70,46,19
84,50,37
57,66,26
19,68,87
36,49,85
53,38,91
1,95,96
90,49,42
7,68,75
45,73,21
66,80,49
93,73,69
65,84,52
2,46,48
70,55,28
54,78,35
87,63,53
74,56,33
31,0,31
93,14,10
3,9,12
75,54,32
34,83,20
80,47,30
34,62,96
62,58,23
77,43,23
26,92,21
44,42,86
77,59,39
30,48,78
35,71,9
29,33,62
78,3,81
46,65,14
18,64,82
3,45,48
41,91,35
16,45,61
29,16,45
22,45,67
70,89,62
2,24,26
48,16,64
56,81,40
42,9,51
63,0,63
1,91,92
55,75,33
32,3,35
59,62,24
66,6,72
61,64,28
54,71,28
39,49,88
19,96,18
3,39,42
62,63,28
50,54,7
2,5,7
79,70,52
64,68,35
83,70,56
53,35,88
23,15,38
80,40,23
61,62,26
82,62,47
5,95,3
22,55,77
18,87,8
73,89,65
56,48,7
79,95,77
36,90,29
69,63,35
36,48,84
58,70,31
4,51,55
12,11,23
20,20,40
8,68,76
33,87,23
94,95,92
73,96,72
43,39,82
76,66,45
8,48,56
1,27,28
22,3,25
65,39,7
55,47,5
60,59,22
89,90,82
49,88,40
15,9,24
85,86,74
31,68,2
64,55,22
11,25,36
65,89,57
71,70,44
9,37,46
85,40,28
28,22,50
34,32,66
27,30,57
54,38,92
22,65,87
70,2,72
28,94,25
51,86,40
59,83,45
56,79,38
52,68,23
1,73,74
88,60,51
68,27,95
51,48,2
7,79,86
48,27,75
78,92,73
46,45,91
30,5,35
90,58,51
53,69,25
28,53,81
47,9,56
62,49,14
85,45,33
66,32,1
43,77,23
84,12,96
11,66,77
84,62,49
35,15,50
62,20,82
50,10,60
35,2,37
33,39,72
22,32,54
85,85,73
72,1,73
77,91,71
52,46,1
59,48,10
57,52,12
89,73,65
56,7,63
69,83,55
24,96,23
79,37,19
9,7,16
83,55,41
43,41,84
77,41,21
25,70,95
67,38,8
93,1,94
29,84,16
42,75,20
34,46,80
87,40,30
13,8,21
74,0,74
39,34,73
32,12,44
42,61,6
66,72,41
76,61,40
57,65,25
52,30,82
11,43,54
1,26,27
0,8,8
16,83,2
51,61,15
50,64,17
46,85,34
31,13,44
8,16,24
47,68,18
76,86,65
45,59,7
57,45,5
8,59,67
16,85,4
64,63,30
34,29,63
86,43,32
65,91,59
53,4,57
94,61,58
60,45,8
17,83,3
37,77,17
0,2,2
94,77,74
66,17,83
53,91,47
19,22,41
39,53,92
21,18,39
82,78,63
41,27,68
8,86,94
33,79,15
70,13,83
58,6,64
58,96,57
35,58,93
7,76,83
21,9,30
92,68,63
93,64,60
79,44,26
27,85,15
46,26,72
19,71,90
77,86,66
3,3,6
25,82,10
49,77,29
67,58,28
89,66,58
78,78,59
83,37,23
80,61,44
13,13,26
81,55,39
55,6,61
61,73,37
71,59,33
9,73,82
0,13,13
29,35,64
45,75,23
84,41,28
37,49,86
52,61,16
54,39,93
62,24,86
82,77,62
83,89,75
6,1,7
57,2,59
8,49,57
35,19,54
67,53,23
93,46,42
59,34,93
58,87,48
58,35,93
12,67,79
90,88,81
92,63,58
41,29,70
43,34,77
64,28,92
16,59,75
48,83,34
71,45,19
4,37,41
39,96,38
20,61,81
76,52,31
51,93,47
56,8,64
25,3,28
8,83,91
69,68,40
23,83,9
8,72,80
89,4,93
42,17,59
80,60,43
96,67,66
47,11,58
75,72,50
49,84,36
23,59,82
0,68,68
86,92,81
62,50,15
41,90,34
93,77,73
93,20,16
59,46,8
74,41,18
15,68,83
93,40,36
2,77,79
13,57,70
21,94,18
18,54,72
55,89,47
86,41,30
48,35,83
80,83,66
30,61,91
27,18,45
30,75,8
27,15,42
17,22,39
34,52,86
18,57,75
31,33,64
66,78,47
11,22,33
95,33,31
65,36,4
46,53,2
49,54,6
19,52,71
51,50,4
64,38,5
7,13,20
25,39,64
86,45,34
57,59,19
13,78,91
22,64,86
52,91,46
9,12,21
23,48,71
9,5,14
31,89,23
59,7,66
14,9,23
64,66,33
2,51,53
53,87,43
20,48,68
20,60,80
41,13,54
6,77,83
16,94,13
8,36,44
82,19,4
7,46,53
26,58,84
91,8,2
58,42,3
71,73,47
93,22,18
36,5,41
14,40,54
18,59,77
3,42,45
85,90,78
46,78,27
66,33,2
75,18,93
15,95,13
2,33,35
27,40,67
29,39,68
37,6,43
46,31,77
2,9,11
8,94,5
62,9,71
86,64,53
19,53,72
34,54,88
67,40,10
44,88,35
55,91,49
21,56,77
0,41,41
70,33,6
20,1,21
47,35,82
55,88,46
57,89,49
20,23,43
37,74,14
64,4,68
44,80,27
69,49,21
0,63,63
81,81,65
34,61,95
6,13,19
84,4,88
6,41,47
9,67,76
96,56,55
87,59,49
45,46,91
41,57,1
43,84,30
65,47,15
91,63,57
31,67,1
14,7,21
52,33,85
14,61,75
45,7,52
56,32,88
31,27,58
44,37,81
11,39,50
57,11,68
5,74,79
63,61,27
54,44,1
82,29,14
57,87,47
26,74,3
40,50,90
34,41,75
57,44,4
35,14,49
2,40,42
14,96,13
73,92,68
56,41,0
51,73,27
58,94,55
44,0,44
5,22,27
71,24,95
43,76,22
25,14,39
55,94,52
25,67,92
19,37,56
17,92,12
83,58,44
95,96,94
47,1,48
88,92,83
3,74,77
55,61,19
48,92,43
35,5,40
62,47,12
70,82,55
61,96,60
49,24,73
26,22,48
64,19,83
76,55,34
3,72,75
24,43,67
25,37,62
11,0,11
69,95,67
68,72,43
27,46,73
8,58,66
15,31,46
81,14,95
71,33,7
67,11,78
57,25,82
94,15,12
35,28,63
66,68,37
23,17,40
33,36,69
85,22,10
37,9,46
1,45,46
82,15,0
83,95,81
58,88,49
61,85,49
23,21,44
89,33,25
40,74,17
23,36,59
39,78,20
90,50,43
79,10,89
61,94,58
10,88,1
74,31,8
68,35,6
90,26,19
49,72,24
31,77,11
32,46,78
27,14,41
44,51,95
38,21,59
43,59,5
31,7,38
85,81,69
72,28,3
4,23,27
86,21,10
49,92,44
79,23,5
15,36,51
23,87,13
39,65,7
29,4,33
41,62,6
30,43,73
13,55,68
81,61,45
9,54,63
42,60,5
7,86,93
32,77,12
38,39,77
9,23,32
68,68,39
78,55,36
89,1,90
31,52,83
26,96,25
33,29,62
68,77,48
2,57,59
14,58,72
29,20,49
89,5,94
40,20,60
2,29,31
96,4,3
13,19,32
91,92,86
93,79,75
54,25,79
81,91,75
31,95,29
1,34,35
13,34,47
51,37,88
94,2,96
23,42,65
13,25,38
7,61,68
83,88,74
50,39,89
24,87,14
10,74,84
66,44,13
64,73,40
93,7,3
41,96,40
60,23,83
48,14,62
55,40,95
4,8,12
17,26,43
53,55,11
5,49,54
54,83,40
35,61,96
49,12,61
46,10,56
13,21,34
74,47,24
21,39,60
62,5,67
80,96,79
65,64,32
61,63,27
93,47,43
58,91,52
25,46,71
6,43,49
11,76,87
10,87,0
63,60,26
46,39,85
39,82,24
43,16,59
80,81,64
67,48,18
25,17,42
70,23,93
41,83,27
50,31,81
53,40,93
52,71,26
4,75,79
52,26,78
71,6,77
17,85,5
70,73,46
68,26,94
63,80,46
14,21,35
93,27,23
86,33,22
6,18,24
31,36,67
62,94,59
24,17,41
73,9,82
77,52,32
33,19,52
8,12,20
47,8,55
72,11,83
27,67,94
71,30,4
29,80,12
94,33,30
85,71,59
37,18,55
48,37,85
47,94,44
26,88,17
21,19,40
58,72,33
0,40,40
43,50,93
86,82,71
63,12,75
23,92,18
81,59,43
87,11,1
74,38,15
62,60,25
15,59,74
2,69,71
9,34,43
31,91,25
84,56,43
62,73,38
15,21,36
3,35,38
82,38,23
27,12,39
91,39,33
19,0,19
75,64,42
27,41,68
36,46,82
76,7,83
54,27,81
94,0,94
47,25,72
82,33,18
92,79,74
23,58,81
24,81,8
79,21,3
14,12,26
28,49,77
43,68,14
83,40,26
77,5,82
18,32,50
11,88,2
41,14,55
69,75,47
18,30,48
91,96,90
10,59,69
7,88,95
88,80,71
81,26,10
32,43,75
79,87,69
22,37,59
47,42,89
74,12,86
67,9,76
81,86,70
56,40,96
46,11,57
5,89,94
53,76,32
60,28,88
26,45,71
36,79,18
12,32,44
85,96,84
41,89,33
61,20,81
92,89,84
96,6,5
38,37,75
64,60,27
63,23,86
6,40,46
48,20,68
68,55,26
57,61,21
61,34,95
50,27,77
52,25,77
46,72,21
36,50,86
56,92,51
89,40,32
30,56,86
18,15,33
71,53,27
14,63,77
27,64,91
36,47,83
23,63,86
61,52,16
65,27,92
80,18,1
5,82,87
30,88,21
76,49,28
3,54,57
43,60,6
55,56,14
83,66,52
85,29,17
50,80,33
80,10,90
47,58,8
41,18,59
12,47,59
52,52,7
15,53,68
92,43,38
76,96,75
9,58,67
7,36,43
46,64,13
8,45,53
26,93,22
61,81,45
54,34,88
85,43,31
69,90,62
30,68,1
31,46,77
90,4,94
80,78,61
5,69,74
20,6,26
26,0,26
96,70,69
19,42,61
22,71,93
35,44,79
52,28,80
37,32,69
81,85,69
19,79,1
93,61,57
74,9,83
40,56,96
31,71,5
44,9,53
53,19,72
89,25,17
64,74,41
34,35,69
56,51,10
47,48,95
95,79,77
32,29,61
64,44,11
4,41,45
37,7,44
66,55,24
69,57,29
11,90,4
92,34,29
17,43,60
14,79,93
49,70,22
15,39,54
63,36,2
10,33,43
18,38,56
79,65,47
76,34,13
25,80,8
16,52,68
31,72,6
12,87,2
65,61,29
42,87,32
93,94,90
39,27,66
23,51,74
89,47,39
10,17,27
64,26,90
27,52,79
37,31,68
75,83,61
43,92,38
52,69,24
55,72,30
45,22,67
2,49,51
34,84,21
50,11,61
70,70,43
3,43,46
7,6,13
2,88,90
46,30,76
82,47,32
90,52,45
64,6,70
95,49,47
